Название;Автор(ы);Год;Издательство;Ссылка
Блокчейн в логистике;Лысенко Юлия Валентиновна, Лысенко Максим Валентинович, Гарипов Роберт Ильизаревич;2019;Азимут научных исследований: экономика и управление;https://cyberleninka.ru/journal/n/azimut-nauchnyh-issledovaniy-ekonomika-i-upravlenie
Блокчейн в информационном обществе;Харченко Ольга Ивановна;2018;Вестник Саратовского государственного социально-экономического университета;https://cyberleninka.ru/journal/n/vestnik-saratovskogo-gosudarstvennogo-sotsialno-ekonomicheskogo-universiteta
Приложения блокчейн на транспорте;Намиот Д.Е., Покусаев О.Н., Куприяновский В.П., Акимов А.В.;2017;International Journal of Open Information Technologies;https://cyberleninka.ru/journal/n/international-journal-of-open-information-technologies
БЛОКЧЕЙН В ЭКОНОМИКЕ И БИЗНЕСЕ;Байсаева Малика Усамовна;2020;Международный журнал прикладных наук и технологий «Integral»;https://cyberleninka.ru/journal/n/mezhdunarodnyy-zhurnal-prikladnyh-nauk-i-tehnologiy-integral
ТЕХНОЛОГИЯ БЛОКЧЕЙН В СЕТЯХ 5G;Беззатеев С.В., Федоров И.Р.;2020;Научно-технический вестник информационных технологий, механики и оптики;https://cyberleninka.ru/journal/n/nauchno-tehnicheskiy-vestnik-informatsionnyh-tehnologiy-mehaniki-i-optiki
Технология блокчейн и ее практическое применение;Мащенко Полина Леонидовна, Пилипенко Мария Олеговна;2017;Наука, техника и образование;https://cyberleninka.ru/journal/n/nauka-tehnika-i-obrazovanie
Блокчейн и протокол коллективной подписи;Черепнев М.А.;2019;International Journal of Open Information Technologies;https://cyberleninka.ru/journal/n/international-journal-of-open-information-technologies
Проблемы внедрения технологии блокчейн;Пелых В. Я.;2019;Colloquium-journal;https://cyberleninka.ru/journal/n/colloquium-journal
Блокчейн-технологии в противодействии кибертерроризму;Антонян Е. А., Аминов И. И.;2019;Актуальные проблемы российского права;https://cyberleninka.ru/journal/n/aktualnye-problemy-rossiyskogo-prava
Технология блокчейн: новые возможности;Говейко Сергей Николаевич;2018;Достижения науки и образования;https://cyberleninka.ru/journal/n/dostizheniya-nauki-i-obrazovaniya
Блокчейн в логистике;Лысенко Юлия Валентиновна, Лысенко Максим Валентинович, Гарипов Роберт Ильизаревич;2019;Азимут научных исследований: экономика и управление;https://cyberleninka.ru/journal/n/azimut-nauchnyh-issledovaniy-ekonomika-i-upravlenie
Блокчейн в информационном обществе;Харченко Ольга Ивановна;2018;Вестник Саратовского государственного социально-экономического университета;https://cyberleninka.ru/journal/n/vestnik-saratovskogo-gosudarstvennogo-sotsialno-ekonomicheskogo-universiteta
Приложения блокчейн на транспорте;Намиот Д.Е., Покусаев О.Н., Куприяновский В.П., Акимов А.В.;2017;International Journal of Open Information Technologies;https://cyberleninka.ru/journal/n/international-journal-of-open-information-technologies
БЛОКЧЕЙН В ЭКОНОМИКЕ И БИЗНЕСЕ;Байсаева Малика Усамовна;2020;Международный журнал прикладных наук и технологий «Integral»;https://cyberleninka.ru/journal/n/mezhdunarodnyy-zhurnal-prikladnyh-nauk-i-tehnologiy-integral
ТЕХНОЛОГИЯ БЛОКЧЕЙН В СЕТЯХ 5G;Беззатеев С.В., Федоров И.Р.;2020;Научно-технический вестник информационных технологий, механики и оптики;https://cyberleninka.ru/journal/n/nauchno-tehnicheskiy-vestnik-informatsionnyh-tehnologiy-mehaniki-i-optiki
Технология блокчейн и ее практическое применение;Мащенко Полина Леонидовна, Пилипенко Мария Олеговна;2017;Наука, техника и образование;https://cyberleninka.ru/journal/n/nauka-tehnika-i-obrazovanie
Блокчейн и протокол коллективной подписи;Черепнев М.А.;2019;International Journal of Open Information Technologies;https://cyberleninka.ru/journal/n/international-journal-of-open-information-technologies
Проблемы внедрения технологии блокчейн;Пелых В. Я.;2019;Colloquium-journal;https://cyberleninka.ru/journal/n/colloquium-journal
Блокчейн-технологии в противодействии кибертерроризму;Антонян Е. А., Аминов И. И.;2019;Актуальные проблемы российского права;https://cyberleninka.ru/journal/n/aktualnye-problemy-rossiyskogo-prava
Технология блокчейн: новые возможности;Говейко Сергей Николаевич;2018;Достижения науки и образования;https://cyberleninka.ru/journal/n/dostizheniya-nauki-i-obrazovaniya
Блокчейн в логистике;Лысенко Юлия Валентиновна, Лысенко Максим Валентинович, Гарипов Роберт Ильизаревич;2019;Азимут научных исследований: экономика и управление;https://cyberleninka.ru/journal/n/azimut-nauchnyh-issledovaniy-ekonomika-i-upravlenie
Блокчейн в информационном обществе;Харченко Ольга Ивановна;2018;Вестник Саратовского государственного социально-экономического университета;https://cyberleninka.ru/journal/n/vestnik-saratovskogo-gosudarstvennogo-sotsialno-ekonomicheskogo-universiteta
Приложения блокчейн на транспорте;Намиот Д.Е., Покусаев О.Н., Куприяновский В.П., Акимов А.В.;2017;International Journal of Open Information Technologies;https://cyberleninka.ru/journal/n/international-journal-of-open-information-technologies
БЛОКЧЕЙН В ЭКОНОМИКЕ И БИЗНЕСЕ;Байсаева Малика Усамовна;2020;Международный журнал прикладных наук и технологий «Integral»;https://cyberleninka.ru/journal/n/mezhdunarodnyy-zhurnal-prikladnyh-nauk-i-tehnologiy-integral
ТЕХНОЛОГИЯ БЛОКЧЕЙН В СЕТЯХ 5G;Беззатеев С.В., Федоров И.Р.;2020;Научно-технический вестник информационных технологий, механики и оптики;https://cyberleninka.ru/journal/n/nauchno-tehnicheskiy-vestnik-informatsionnyh-tehnologiy-mehaniki-i-optiki
Технология блокчейн и ее практическое применение;Мащенко Полина Леонидовна, Пилипенко Мария Олеговна;2017;Наука, техника и образование;https://cyberleninka.ru/journal/n/nauka-tehnika-i-obrazovanie
Блокчейн и протокол коллективной подписи;Черепнев М.А.;2019;International Journal of Open Information Technologies;https://cyberleninka.ru/journal/n/international-journal-of-open-information-technologies
Проблемы внедрения технологии блокчейн;Пелых В. Я.;2019;Colloquium-journal;https://cyberleninka.ru/journal/n/colloquium-journal
Блокчейн-технологии в противодействии кибертерроризму;Антонян Е. А., Аминов И. И.;2019;Актуальные проблемы российского права;https://cyberleninka.ru/journal/n/aktualnye-problemy-rossiyskogo-prava
Технология блокчейн: новые возможности;Говейко Сергей Николаевич;2018;Достижения науки и образования;https://cyberleninka.ru/journal/n/dostizheniya-nauki-i-obrazovaniya
